official_name,address_txt,id
Mairie - Balloy,Place de la Mairie 77118 Balloy,fda3bfcf-b30b-4c94-9dc0-f0ffa29f1df1
Mairie - Bannost-Villegagnon,2 rue de la Gare 77970 Bannost-Villegagnon,6b5b72ca-77de-4f70-8900-f79ca6cb24c8
Mairie - Banthelu,3 rue de la Mairie 95420 Banthelu,76e9b9d6-708d-4026-b0d8-9c5c7fb03004
Mairie - Barbey,48 rue Grande 77130 Barbey,1e636d54-f3c1-41dd-85f9-ed1af2ca8052
Mairie - Barbizon,13 Grande rue 77630 Barbizon,d50afb58-40ba-4454-8cfe-42d0abf9fd00
Mairie - Barcy,Place Sainte-Geviève 77910 Barcy,bc7b42be-ec6a-4d7a-a618-fabf16e8c3a4
Mairie - Bassevelle,743 rue de la Mairie 77750 Bassevelle,bf28b298-8653-4574-8b0a-2b7cb2050964
Mairie - Baulne,102 route de Corbeil 91590 Baulne,ceae1b0c-81e6-4330-b580-79bac151c6e1
Mairie - Bazainville,25 Grand'rue 78550 Bazainville,762949f5-7e8d-4c2b-92c9-3927b5579cc2
Mairie - Bazemont,3 rue d'Aulnay 78580 Bazemont,484a9c9c-5c74-468a-8c1d-478a2cb1c099
Mairie - Bazoches-lès-Bray,4 place de l'Église 77118 Bazoches-lès-Bray,a29a7925-47ef-4067-a238-4dde33496e13
Mairie - Bazoches-sur-Guyonne,30 route de Chevreuse 78490 Bazoches-sur-Guyonne,c7441370-9f1d-4997-8b29-44bed8bc0eda
Mairie - Beauchamp,1 place Camille-Fouinat 95250 Beauchamp,3e9d6704-8542-4ff2-8b5d-39d94f859d83
Mairie - Beauchery-Saint-Martin,2 rue de la Tour-Maurouard 77560 Beauchery-Saint-Martin,d9f90879-52f2-41d8-a9e0-534d09b68ad8
Mairie - Beaumont-du-Gâtinais,1 rue Montgaudier 77890 Beaumont-du-Gâtinais,a1990c6f-d1f1-4141-87a7-03ac3d3f8bdc
Mairie - Beaumont-sur-Oise,29 rue de Paris 95260 Beaumont-sur-Oise,2a3cb556-8961-450b-9b94-395f95453bb0
Mairie - Beautheil-Saints,Saints  24 Grande-Rue 77120 Beautheil-Saints,5a81c3c0-991f-44ef-a699-d17e79fe96ad
Mairie - Beauvoir,Rue du Fief 77390 Beauvoir,64f83220-e577-42ce-90b7-1dd2472c1239
Mairie - Bellefontaine,1 rue des Sablons 95270 Bellefontaine,9492daac-0ea2-4b97-bab5-197e2f232767
Mairie - Bellot,1 place de l'Église 77510 Bellot,c81f5264-19f8-4d90-8d9f-86a939bd6e02
Mairie - Belloy-en-France,5 place Alphonse-Sainte-Beuve 95270 Belloy-en-France,ceba0df7-70fa-49e1-9e9f-f50870203b36
Mairie - Bennecourt,Rue de la Nourrée 78270 Bennecourt,f5cc22a5-75bc-43e2-9004-115e9a9a3d43
